expAB_z;i;q_r;modelFlux_r;expAB_i;expRad_u;q_g;psfMag_z;dec;psfMag_r;type
0.2247487;20.93063;-0.2370404;2.428324;0.7194831;0.2438693;0.09451824;20.5789;14.1911816382477;22.58601;galaxy
0.6999545;19.79116;-0.01663968;7.80828;0.8704884;3.033165;-0.003244302;19.91361;-0.269000057260187;20.72262;galaxy
0.1769057;21.45801;0.08462761;2.777785;0.05;1.467519;-0.1842312;21.42516;1.00402193060691;22.0459;galaxy
0.1642381;17.05473;-0.02908613;49.03365;0.8270684;59.35469;0.05187598;17.11862;69.8483172736274;18.31347;galaxy
0.172688;21.34863;-0.00869194;3.105183;0.2687246;1.665984;-0.04956235;20.91286;-1.15660413325583;21.29948;galaxy
0.2920403;18.90704;0.1006937;17.92669;0.3560053;2.980215;0.1117762;19.29314;1.21945384751515;20.21861;galaxy
0.1276706;23.21153;0.04864139;1.121552;0.05;3.306461;-0.2835632;22.60873;-0.14676174281894;22.85898;galaxy
0.05;21.0185;0.213536;2.189053;0.09465034;1.388631;0.1317046;21.11997;-1.09078677432079;22.27372;galaxy
0.6499884;20.35143;0.1827092;5.089844;0.1208298;3.065967;0.2568744;20.54412;-0.274614044746205;21.42344;galaxy
0.2999973;21.08703;0.03126349;2.679836;0.6746147;0.001270671;0.05204625;21.21949;-0.061536348278189;22.04122;galaxy
0.05;21.19104;-0.1192366;1.693261;0.275986;0.005501582;0.1348719;21.67105;-0.921516796703157;22.6559;galaxy
0.05;22.15132;-0.06571365;1.49703;0.05020513;0.3785548;0.1935756;22.15437;0.343068604206594;22.23258;galaxy
0.407611;20.66331;0.07667717;2.909091;0.9870482;0.4869567;-0.004419917;20.56206;-1.16073974093217;21.67797;galaxy
0.2573892;20.2088;-0.302491;3.775329;0.3999736;50.54581;-0.1009003;21.64077;-0.286881353775332;22.47678;galaxy
0.09999707;21.49947;-0.1576521;2.254568;0.09981004;5.291733;-0.116671;22.54181;0.205556605607138;21.96915;galaxy
0.2711685;20.79048;0.04695436;3.921814;0.7999051;2.811521;-0.3370011;21.01696;-0.97897350242519;21.70287;galaxy
0.2818651;20.52903;-0.1150429;3.360521;0.6284069;2.457546;0.350433;20.8257;-4.43200537611919;21.32975;galaxy
0.3500196;22.72834;-0.4300281;1.498149;0.05;0.02237195;-0.007398232;21.77337;1.24527169165749;22.57411;galaxy
0.05838769;20.74027;-0.09040499;2.445714;0.4187942;0.003420279;0.07002501;20.93773;1.18019796302598;21.89374;galaxy
0.1048313;21.46235;0.3438874;2.382803;0.5103806;7.994053;0.06242165;21.89172;0.299356448410554;22.19185;galaxy
0.1612217;20.06388;-0.01709043;6.512424;0.7374815;0.9829637;-0.05427998;19.98668;0.668252860324799;20.84728;galaxy
0.05;22.04318;0.1202451;1.697799;0.09997644;5.971188;0.2453292;21.7554;0.372100813155222;22.21067;galaxy
0.2500148;20.60225;0.002424695;4.278319;0.4567272;2.737163;0.08916955;20.85218;-0.284007941537154;21.45448;galaxy
0.06468619;21.12231;-0.01575277;2.685312;0.4999704;0.00843682;0.02769184;22.02913;0.262499585739165;22.50527;galaxy
0.05;20.67726;-0.0630075;1.872893;0.7424582;14.40862;0.220087;20.63149;-1.17532243630665;22.25888;galaxy
